"Unterkunft/Unterbringung","Unterkunft/Unterbringung"
"Unterschrift","Unterschrift"
"Untersuchung (medizinisch)","Untersuchung (medizinisch)"
"Vaterschaftsanerkennung","Vaterschaftsanerkennung"
"Vaterschaftsanfechtung","Vaterschaftsanfechtung"
"Vaterschaft","Vaterschaft"
"verfolgen (einen Geschehen)","verfolgen (einen Geschehen)"
"Verfolgung","Verfolgung"
"Vergewaltigung","Vergewaltigung"
"Verlängerung","Verlängerung"
"Versicherung","Versicherung"
"Verwaltungsgericht","Verwaltungsgericht"
"volljährig","volljährig"
"Vollmacht","Vollmacht"
"Vorteile und Nachteile","Vorteile und Nachteile"
"vorübergehend","vorübergehend"
"vulnerabel","vulnerabel"
"wegschicken (bei einer Behörde)","wegschicken (bei einer Behörde)"
"Wehen (Geburtswehen)","Wehen (Geburtswehen)"
"WSW","WSW"
"Zufluchtswohnung (für Frauen)","Zufluchtswohnung (für Frauen)"
"zurückziehen/zurücknehmen (Antrag)","zurückziehen/zurücknehmen (Antrag)"
